I Agree to participate in the research project under the conditions described above,"The name of your institution
","The name of your program of study
",Your current class level is,Your gender,Your current age,Living with family?,Are you happy with your academic  Condition?,Your CGPA ,Are you addicted to any drugs?,Are you in a relationship?,  Did you have a recent breakup?  ,  How often do you conflict with your friend?  ,  Do you have financial problem in your family? ,  Violence in family?  ,  Have you ever been bullied  ,   Have you ever been sexually harassed or abused?  ,How many hours do you spend on social media?  ,"1. I found it hard to wind down
??? ??????? ?? ???????????? ????? ?? ????????? ???????? ???? ??? ???? ???? ???? ???","2. I tended to over-react to situations 
???? ????? ??????? ??????????? ???????? ???????????? ???? ??????? ???","3 .I felt that I was using a lot of nervous energy 
???? ??? ??? ?? ??? ??? ???? ??????? ???? ?????","4.  I found myself getting agitated 
??? ????? ????? ?? ??? ??? ?????? ???? ??????? ","5.  I found it difficult to relax 
???? ??? ??? ???? ???? ???? ??","6.  I was intolerant of anything that kept me from getting on with what I was doing 
???? ???? ???? ??? ??? ?? ??? ?????? ???? ???? ????? ????","7.  I felt that I was rather touchy 
??? ????? ????? ??? ??????? ??? ?????? ???","1. _____ Extraverted, enthusiastic.","2. _____ Critical, quarrelsome.","3. _____ Dependable, self-disciplined.","4. _____ Anxious, easily upset.","5. _____ Open to new experiences, complex.","6. _____ Reserved, quiet.","7. _____ Sympathetic, warm.","8. _____ Disorganized, careless.","9. _____ Calm, emotionally stable","10. _____ Conventional, uncreative."
"Yes, I agree to participate,",University of Dhaka ,BBA,Freshman (Undergrad),Male,21-25,No,No,3.01-3.50,No,No,No,Never occurs,Yes,Never,Yes,No,> 3 Hours,1,0,1,1,2,1,2,1,1,3,2,2,1,4,1,5,5
"Yes, I agree to participate,",chittagong University of Engineering & Technology,Computer Science & Engineering,Sophomore (Undergrad),Male,21-25,No,Yes,3.01-3.50,No,No,No,Never occurs,No,Never,No,No,< 1 Hours,1,0,0,0,0,1,0,5,1,6,1,5,4,6,1,7,4
"Yes, I agree to participate,",Chittagong University of Engineering and Technology ,ETE ,Junior (Undergrad),Female,21-25,No,No,> 3.50,No,No,No,Sometimes,Yes,Never,Yes,No,1-3 Hours,1,0,2,3,1,1,1,5,2,4,3,5,5,5,3,5,4
"Yes, I agree to participate,",cuet,Mechanical Engineering ,Junior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,Yes,Sometimes,No,Often,Yes,No,1-3 Hours,1,2,1,2,1,2,2,1,1,1,5,4,6,6,1,4,4
"Yes, I agree to participate,","IBA, Dhaka University",BBA,Freshman (Undergrad),Female,21-25,Yes,No,> 3.50,No,Yes,No,Sometimes,No,Often,Yes,No,1-3 Hours,2,1,1,1,1,1,1,6,3,6,3,6,2,6,2,5,2
"Yes, I agree to participate,",Chittagong University of Engineering & Technology,Civil Engineering,Senior (Undergrad),Male,21-25,No,No,< 3.00,No,No,No,Sometimes,No,Never,Yes,No,> 3 Hours,3,3,3,3,3,3,1,4,6,6,6,7,1,1,1,1,1
"Yes, I agree to participate,",University of Dhaka,Microbiology,Junior (Undergrad),Male,21-25,Yes,Yes,> 3.50,No,No,No,Never occurs,No,Never,Yes,No,1-3 Hours,1,0,0,1,0,1,1,6,4,5,1,7,5,5,5,5,1
"Yes, I agree to participate,",CUET,ME,Senior (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,No,Yes,Sometimes,No,Never,No,Yes,< 1 Hours,2,3,1,1,0,0,3,5,1,4,4,7,2,7,7,4,7
"Yes, I agree to participate,",BUET,Mechanical Engineering,Freshman (Undergrad),Male,< 20,No,Yes,> 3.50,No,No,Yes,Sometimes,No,Often,Yes,No,> 3 Hours,1,1,1,0,0,1,1,4,4,5,5,5,6,6,4,4,4
"Yes, I agree to participate,",University of South Asia ,Computer Science and Engineering ,Senior (Undergrad),Female,21-25,Yes,No,> 3.50,No,No,No,Sometimes,Yes,Most of the time,Yes,Yes,< 1 Hours,1,1,1,2,1,2,1,4,2,4,5,4,3,5,4,4,4
"Yes, I agree to participate,",University of Dhaka ,B.A.(Hon's) ,Graduate student,Female,< 20,Yes,No,3.01-3.50,No,Yes,No,Never occurs,Yes,Often,Yes,Yes,1-3 Hours,1,2,1,3,2,3,3,4,1,4,7,3,4,4,4,6,4
"Yes, I agree to participate,",CUET,B.Sc. in Civil Engineering ,Freshman (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,No,No,Never occurs,Yes,Rarely,No,Yes,> 3 Hours,3,2,3,3,3,3,3,1,2,2,6,3,6,6,4,3,2
"Yes, I agree to participate,",CUET,URP,Senior (Undergrad),Male,21-25,Yes,No,< 3.00,No,No,No,Sometimes,No,Never,No,No,1-3 Hours,0,1,0,0,0,1,0,5,2,4,4,4,3,4,3,6,4
"Yes, I agree to participate,",CU,CSE,Sophomore (Undergrad),Female,21-25,No,No,< 3.00,No,No,Yes,Sometimes,Yes,Rarely,Yes,Yes,> 3 Hours,0,0,0,0,1,0,2,7,2,5,7,2,4,4,2,2,2
"Yes, I agree to participate,",University of Dhaka,Computer science and engineering,Junior (Undergrad),Female,21-25,Yes,No,> 3.50,No,No,Yes,Sometimes,Yes,Rarely,Yes,No,> 3 Hours,0,3,0,2,3,0,3,1,2,3,4,5,6,7,6,5,4
"Yes, I agree to participate,",University of Dhaka,Computer science and engineering,Junior (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,No,Yes,Yes,Sometimes,Yes,Rarely,Yes,Yes,> 3 Hours,0,1,1,2,3,0,1,2,3,1,4,3,6,4,2,7,5
"Yes, I agree to participate,",University of Dhaka,Electrical & Electronic Engineering,Junior (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,No,No,Yes,Sometimes,Yes,Rarely,Yes,Yes,> 3 Hours,3,0,0,1,2,1,3,5,3,6,3,7,6,4,2,6,2
"Yes, I agree to participate,",University of Dhaka,Electrical & Electronic Engineering,Junior (Undergrad),Female,21-25,Yes,No,< 3.00,No,No,Yes,Sometimes,Yes,Rarely,Yes,Yes,> 3 Hours,0,1,3,1,2,2,0,2,6,3,6,3,5,2,4,6,3
"Yes, I agree to participate,",University of Dhaka,Fisheries,Junior (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,No,Yes,Yes,Sometimes,Yes,Rarely,Yes,No,1-3 Hours,0,0,0,1,2,1,2,1,5,1,4,5,2,4,5,6,5
"Yes, I agree to participate,",University of Dhaka,Fisheries,Junior (Undergrad),Female,21-25,Yes,Yes,> 3.50,No,Yes,No,Sometimes,Yes,Rarely,Yes,Yes,> 3 Hours,0,1,1,2,3,1,1,1,4,6,4,2,5,3,7,4,3
"Yes, I agree to participate,",University of Dhaka,Genetic Engineering & Biotechnology,Junior (Undergrad),Female,21-25,Yes,Yes,> 3.50,Yes,No,Yes,Sometimes,Yes,Rarely,Yes,Yes,1-3 Hours,0,0,0,0,1,3,1,1,2,3,4,5,6,7,6,5,4
"Yes, I agree to participate,",University of Dhaka,Genetic Engineering & Biotechnology,Junior (Undergrad),Female,21-25,Yes,Yes,> 3.50,No,Yes,Yes,Sometimes,Yes,Most of the time,Yes,Yes,1-3 Hours,0,3,0,1,2,1,1,1,2,3,4,5,4,3,7,6,5
"Yes, I agree to participate,",University of Dhaka,Software engineering,Junior (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,Yes,Yes,Yes,Most of the time,Yes,Most of the time,Yes,Yes,1-3 Hours,0,2,0,1,1,1,3,1,7,4,4,5,3,5,3,6,4
"Yes, I agree to participate,",University of Dhaka,Software engineering,Junior (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,Yes,Yes,Yes,Most of the time,Yes,Rarely,Yes,Yes,> 3 Hours,0,3,1,0,2,3,1,3,4,3,5,2,6,5,4,2,6
"Yes, I agree to participate,",BRAC University,Computer science and engineering,Junior (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,No,No,Yes,Sometimes,Yes,Often,Yes,Yes,1-3 Hours,0,1,0,1,1,1,3,4,7,4,2,1,5,4,3,7,3
"Yes, I agree to participate,",BRAC University,Computer science and engineering,Junior (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,Yes,Yes,No,Most of the time,Yes,Rarely,Yes,No,> 3 Hours,2,1,1,1,1,2,0,1,5,7,3,5,7,3,1,7,2
"Yes, I agree to participate,",BRAC University,Electrical & Electronic Engineering,Junior (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,No,Yes,Yes,Sometimes,Yes,Often,Yes,Maybe,> 3 Hours,2,1,1,1,1,2,3,1,7,4,6,3,6,3,7,1,4
"Yes, I agree to participate,",BRAC University,Electrical & Electronic Engineering,Junior (Undergrad),Female,21-25,Yes,Yes,> 3.50,No,Yes,Yes,Most of the time,Yes,Most of the time,Yes,No,1-3 Hours,0,1,2,1,0,0,2,6,4,2,6,3,5,7,5,2,6
"Yes, I agree to participate,",Ahsanullah University of Science and Technology,Computer science and engineering,Junior (Undergrad),Female,21-25,Yes,Yes,> 3.50,Yes,Yes,Yes,Sometimes,Yes,Often,Yes,No,> 3 Hours,1,1,2,3,1,0,0,1,2,3,4,4,5,6,4,3,4
"Yes, I agree to participate,",Ahsanullah University of Science and Technology,Computer science and engineering,Junior (Undergrad),Female,21-25,Yes,Yes,> 3.50,No,No,Yes,Sometimes,Yes,Rarely,Yes,Yes,> 3 Hours,0,3,1,1,0,1,1,1,3,7,4,5,3,6,4,5,3
"Yes, I agree to participate,",Ahsanullah University of Science and Technology,Computer science and engineering,Junior (Undergrad),Female,21-25,No,Yes,> 3.50,No,Yes,Yes,Sometimes,Yes,Rarely,Yes,Yes,1-3 Hours,0,2,1,0,1,1,0,1,2,3,4,5,6,5,4,5,6
"Yes, I agree to participate,",Ahsanullah University of Science and Technology,Computer science and engineering,Junior (Undergrad),Male,21-25,Yes,Yes,> 3.50,No,Yes,Yes,Sometimes,Yes,Most of the time,Yes,No,> 3 Hours,0,1,1,1,0,1,3,2,3,5,4,3,5,7,3,6,2
"Yes, I agree to participate,",Ahsanullah University of Science and Technology,Computer science and engineering,Junior (Undergrad),Male,21-25,Yes,Yes,> 3.50,No,Yes,Yes,Sometimes,Yes,Most of the time,Yes,No,1-3 Hours,0,1,2,3,0,1,1,1,2,3,7,5,4,6,3,5,4
"Yes, I agree to participate,",Ahsanullah University of Science and Technology,Electrical & Electronic Engineering,Junior (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,Yes,Yes,Yes,Sometimes,Yes,Often,No,No,1-3 Hours,2,2,0,0,2,0,1,1,4,5,4,2,6,4,3,5,4
"Yes, I agree to participate,",Ahsanullah University of Science and Technology,Electrical & Electronic Engineering,Junior (Undergrad),Female,21-25,No,Yes,3.01-3.50,No,Yes,No,Sometimes,Yes,Most of the time,Yes,Yes,1-3 Hours,0,1,1,2,1,1,1,1,3,4,5,5,5,4,5,4,4
"Yes, I agree to participate,",Ahsanullah University of Science and Technology,Electrical & Electronic Engineering,Junior (Undergrad),Male,21-25,Yes,Yes,> 3.50,No,No,No,Most of the time,Yes,Most of the time,No,No,< 1 Hours,3,0,2,1,2,2,1,2,6,3,5,3,6,3,5,5,3
"Yes, I agree to participate,",Ahsanullah University of Science and Technology,Electrical & Electronic Engineering,Junior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,Yes,Yes,Most of the time,Yes,Most of the time,Yes,No,> 3 Hours,1,2,1,1,1,0,1,1,3,5,5,4,2,6,3,2,6
"Yes, I agree to participate,",Ahsanullah University of Science and Technology,Electrical & Electronic Engineering,Junior (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,No,Yes,Yes,Sometimes,Yes,Rarely,Yes,Yes,1-3 Hours,2,0,0,3,1,1,0,4,3,6,3,6,3,6,2,6,2
"Yes, I agree to participate,",American International University - Bangladesh,Computer science and engineering,Junior (Undergrad),Female,21-25,Yes,Yes,> 3.50,Yes,Yes,Yes,Most of the time,Yes,Rarely,Yes,Yes,1-3 Hours,1,1,0,1,2,1,3,2,4,6,3,2,5,3,1,6,4
"Yes, I agree to participate,",American International University - Bangladesh,Computer science and engineering,Junior (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,Yes,No,Yes,Most of the time,Yes,Rarely,Yes,Yes,1-3 Hours,3,1,0,1,1,1,1,5,3,5,3,5,3,2,5,5,3
"Yes, I agree to participate,",American International University - Bangladesh,Computer science and engineering,Junior (Undergrad),Male,21-25,Yes,Yes,> 3.50,No,No,Yes,Most of the time,Yes,Most of the time,Yes,No,1-3 Hours,1,0,2,1,0,1,1,1,5,3,7,4,3,6,3,5,3
"Yes, I agree to participate,",American International University - Bangladesh,Computer science and engineering,Junior (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,No,Yes,Yes,Sometimes,Yes,Rarely,No,No,> 3 Hours,2,1,0,1,0,0,3,1,4,6,3,7,6,2,6,4,5
"Yes, I agree to participate,",American International University - Bangladesh,Electrical & Electronic Engineering,Junior (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,Yes,Yes,Yes,Most of the time,Yes,Rarely,Yes,Yes,> 3 Hours,0,1,0,3,1,0,0,5,3,6,3,5,7,3,6,2,6
"Yes, I agree to participate,",American International University - Bangladesh,Electrical & Electronic Engineering,Junior (Undergrad),Female,21-25,Yes,Yes,> 3.50,No,Yes,Yes,Sometimes,Yes,Most of the time,Yes,Yes,1-3 Hours,1,1,0,3,1,1,1,2,5,3,6,2,6,3,6,1,6
"Yes, I agree to participate,",North South University,Computer science and engineering,Junior (Undergrad),Male,21-25,Yes,No,> 3.50,Yes,Yes,Yes,Never occurs,No,Most of the time,No,No,< 1 Hours,0,1,1,0,1,2,1,3,5,3,5,3,6,3,5,3,6
"Yes, I agree to participate,",North South University,Computer science and engineering,Junior (Undergrad),Female,21-25,Yes,Yes,> 3.50,No,Yes,Yes,Sometimes,Yes,Rarely,Yes,Yes,1-3 Hours,0,2,2,1,2,1,0,3,5,6,5,4,6,4,3,1,4
"Yes, I agree to participate,",North South University,Electrical & Electronic Engineering,Junior (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,Yes,Yes,Yes,Most of the time,Yes,Often,Yes,No,> 3 Hours,1,2,0,2,1,1,0,2,6,4,6,2,5,3,6,3,2
"Yes, I agree to participate,",North South University,Electrical & Electronic Engineering,Junior (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,No,Yes,Yes,Sometimes,Yes,Rarely,Yes,No,1-3 Hours,0,2,0,3,1,0,0,4,6,3,7,3,1,7,4,2,6
"Yes, I agree to participate,",North South University,Electrical & Electronic Engineering,Junior (Undergrad),Female,21-25,No,Yes,> 3.50,Yes,Yes,Yes,Sometimes,No,Rarely,No,No,> 3 Hours,0,0,2,1,0,1,1,4,6,2,5,7,2,5,3,1,5
"Yes, I agree to participate,",East West University,Computer science and engineering,Junior (Undergrad),Female,21-25,No,Yes,3.01-3.50,Yes,Yes,No,Most of the time,Yes,Rarely,Yes,Yes,1-3 Hours,0,1,3,1,2,1,0,3,7,3,6,4,3,6,4,2,6
"Yes, I agree to participate,",East West University,Computer science and engineering,Freshman (Undergrad),Male,21-25,Yes,No,< 3.00,Yes,Yes,No,Never occurs,No,Most of the time,Yes,No,< 1 Hours,0,2,1,2,1,0,2,2,3,5,6,3,1,6,4,2,6
"Yes, I agree to participate,",East West University,Electrical & Electronic Engineering,Junior (Undergrad),Male,21-25,Yes,Yes,> 3.50,No,No,No,Most of the time,Yes,Rarely,No,No,< 1 Hours,2,1,3,1,0,2,0,1,5,3,6,4,2,6,3,5,3
"Yes, I agree to participate,",East West University,Electrical & Electronic Engineering,Junior (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,No,Yes,Yes,Sometimes,Yes,Rarely,Yes,Yes,> 3 Hours,0,1,3,3,1,3,1,7,4,2,1,2,6,3,7,3,6
"Yes, I agree to participate,",East West University,Electrical & Electronic Engineering,Junior (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,Yes,Yes,Yes,Most of the time,Yes,Often,Yes,Yes,1-3 Hours,0,0,1,3,0,2,1,3,6,1,7,4,6,1,7,3,3
"Yes, I agree to participate,",Not Available at the moment ,Admission Student ,Freshman (Undergrad),Male,< 20,Yes,No,> 3.50,No,No,No,Sometimes,Yes,Most of the time,Yes,No,1-3 Hours,2,2,3,3,3,1,1,6,2,6,1,7,2,7,1,3,3
"Yes, I agree to participate,",Govt Bangabandhu College Khulna ,Intermediate at Science ,Junior (Undergrad),Male,21-25,No,Yes,> 3.50,No,No,Yes,Sometimes,Yes,Often,Yes,No,> 3 Hours,3,3,2,2,3,2,3,1,5,1,7,5,4,1,7,1,1
"Yes, I agree to participate,",Shahajalal University of Science & Technology,Computer Science & Engineering ,Senior (Undergrad),Male,21-25,No,Yes,3.01-3.50,No,No,No,Sometimes,Yes,Never,Yes,No,> 3 Hours,1,0,1,2,2,2,0,5,6,4,1,7,5,1,7,5,1
"Yes, I agree to participate,",Chittagong University of Engineering & Technology (CUET),Computer Science & Engineering (CSE),Senior (Undergrad),Male,21-25,No,No,3.01-3.50,No,Yes,No,Sometimes,No,Never,Yes,Yes,1-3 Hours,2,1,1,0,0,1,0,1,5,6,2,3,7,6,6,6,7
"Yes, I agree to participate,",Dhaka University of Engineering and Technology ,Textile Engineering ,Senior (Undergrad),Female,> 25,No,No,< 3.00,No,Yes,No,Sometimes,No,Never,Yes,Yes,1-3 Hours,2,3,2,2,3,2,3,3,6,6,7,6,6,4,2,1,4
"Yes, I agree to participate,",East Delta University,CSE,Senior (Undergrad),Male,21-25,Yes,Yes,> 3.50,No,No,Yes,Never occurs,Yes,Never,No,No,> 3 Hours,0,0,0,1,2,2,3,4,1,5,4,4,7,7,1,7,6
"Yes, I agree to participate,",East Delta University ,EEE,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,Yes,Yes,No,Most of the time,Yes,Often,Yes,No,> 3 Hours,1,1,1,1,0,1,1,5,5,5,7,5,5,5,5,5,1
"Yes, I agree to participate,",East Delta University ,CSE,Senior (Undergrad),Male,21-25,Yes,No,< 3.00,No,No,Yes,Sometimes,Yes,Rarely,Yes,No,> 3 Hours,0,0,3,0,2,3,2,3,1,6,3,5,7,7,1,3,2
"Yes, I agree to participate,",East Delta University,BSc in CSE,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Never,Yes,Yes,> 3 Hours,2,3,3,3,3,3,3,1,4,4,7,7,7,1,3,1,4
"Yes, I agree to participate,",East Delta University ,Computer Science and Engineering ,Freshman (Undergrad),Female,< 20,Yes,No,3.01-3.50,No,No,No,Never occurs,Yes,Never,Yes,Yes,1-3 Hours,0,1,1,3,2,2,3,1,1,7,1,7,5,7,1,7,5
"Yes, I agree to participate,","East Delta university,Chittagong",Computer Science and Engineering ,Graduate student,Female,21-25,Yes,No,< 3.00,No,No,No,Sometimes,Yes,Rarely,Yes,Yes,> 3 Hours,3,1,1,2,1,3,2,2,7,7,7,6,6,6,6,2,6
"Yes, I agree to participate,",CUET,EEE,Senior (Undergrad),Male,21-25,No,No,3.01-3.50,No,No,No,Never occurs,Yes,Rarely,Yes,No,< 1 Hours,1,3,1,3,2,2,3,1,1,7,7,4,7,7,4,7,2
"Yes, I agree to participate,",Savar model college ,Science,Freshman (Undergrad),Female,< 20,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Never,No,No,> 3 Hours,0,2,2,1,1,2,2,7,2,6,6,6,1,7,1,7,3
"Yes, I agree to participate,",East Delta University,BSc in CSE,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Most of the time,No,Rarely,Yes,Yes,> 3 Hours,1,1,1,1,1,3,0,1,6,7,2,1,7,7,1,7,4
"Yes, I agree to participate,",Cuet,Architecture ,Freshman (Undergrad),Female,21-25,No,No,< 3.00,No,No,No,Never occurs,Yes,Often,Yes,No,> 3 Hours,2,2,2,2,1,1,1,2,1,5,2,6,5,7,2,4,1
"Yes, I agree to participate,",East Delta university ,CSE,Freshman (Undergrad),Male,21-25,Yes,Yes,< 3.00,No,No,No,Sometimes,No,Rarely,No,No,> 3 Hours,1,2,2,2,3,2,3,4,6,4,7,4,5,6,5,3,6
"Yes, I agree to participate,",Sust,Cse,Junior (Undergrad),Female,21-25,No,No,< 3.00,Yes,No,Yes,Sometimes,Yes,Rarely,Yes,Yes,> 3 Hours,2,1,0,2,2,1,2,6,3,4,5,3,3,2,2,4,4
"Yes, I agree to participate,",DU,Finance ,Senior (Undergrad),Male,21-25,Yes,No,< 3.00,No,No,Yes,Sometimes,No,Never,No,No,1-3 Hours,3,3,3,3,3,3,3,5,6,5,7,3,7,6,4,2,4
"Yes, I agree to participate,",Govt.Commerce  College ,Marketing ,Senior (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,No,No,Yes,Never occurs,No,Never,No,No,> 3 Hours,0,0,0,0,0,0,0,1,1,6,2,1,1,6,1,7,1
"Yes, I agree to participate,",East Delta University,Electrical And Electronics Engineering,Senior (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Rarely,No,No,1-3 Hours,1,1,3,3,2,1,1,4,2,6,6,6,6,4,1,4,2
"Yes, I agree to participate,",Cuet,Mie,Senior (Undergrad),Male,21-25,No,No,< 3.00,No,No,No,Never occurs,No,Never,Yes,Yes,1-3 Hours,3,3,3,3,3,3,3,1,7,1,7,1,7,7,1,7,4
"Yes, I agree to participate,",CUET,ETE,Senior (Undergrad),Prefer not to say,21-25,Yes,Yes,> 3.50,No,Yes,No,Never occurs,No,Often,Yes,Yes,> 3 Hours,3,3,3,3,3,1,1,1,1,3,6,7,3,6,5,1,2
"Yes, I agree to participate,",CUET,EEE,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Often,Yes,No,> 3 Hours,2,3,3,2,2,3,1,2,5,3,2,5,3,3,3,3,2
"Yes, I agree to participate,",Chittagong University of Engineering and Technology ,WRE,Junior (Undergrad),Female,21-25,No,No,< 3.00,No,No,No,Never occurs,No,Often,No,No,< 1 Hours,0,0,1,1,1,2,1,1,1,4,5,6,7,5,7,5,7
"Yes, I agree to participate,",Rajshahi University of Engineering & Technology,Computer science and engineering,Junior (Undergrad),Female,21-25,No,Yes,3.01-3.50,No,No,No,Sometimes,Yes,Rarely,Yes,No,> 3 Hours,0,1,3,0,1,1,1,6,2,6,3,6,2,6,2,5,2
"Yes, I agree to participate,",Rajshahi University of Engineering & Technology,Computer science and engineering,Junior (Undergrad),Female,21-25,Yes,No,< 3.00,No,Yes,Yes,Sometimes,Yes,Rarely,Yes,No,1-3 Hours,2,1,1,0,1,1,1,1,6,3,6,3,6,3,2,7,1
"Yes, I agree to participate,",Rajshahi University of Engineering & Technology,Computer science and engineering,Junior (Undergrad),Female,21-25,Yes,Yes,> 3.50,No,Yes,Yes,Sometimes,Yes,Rarely,Yes,No,> 3 Hours,0,1,1,0,1,3,3,1,3,6,4,1,6,3,7,2,6
"Yes, I agree to participate,",Rajshahi University of Engineering & Technology,Computer science and engineering,Junior (Undergrad),Female,21-25,Yes,Yes,> 3.50,Yes,Yes,Yes,Sometimes,Yes,Rarely,Yes,Yes,> 3 Hours,0,2,2,0,3,3,0,1,5,3,6,3,7,4,1,7,3
"Yes, I agree to participate,",Rajshahi University of Engineering & Technology,Computer science and engineering,Junior (Undergrad),Male,21-25,No,No,< 3.00,Yes,Yes,Yes,Sometimes,Yes,Rarely,No,No,1-3 Hours,0,2,2,3,1,2,1,1,4,2,3,6,2,5,3,5,4
"Yes, I agree to participate,",Rajshahi University of Engineering & Technology,Computer science and engineering,Junior (Undergrad),Female,21-25,Yes,Yes,> 3.50,No,No,No,Sometimes,Yes,Often,No,Yes,1-3 Hours,0,1,1,2,3,3,0,1,3,3,6,4,1,6,1,5,7
"Yes, I agree to participate,",Chittagong University of Engineering and Technology,EEE,Freshman (Undergrad),Female,< 20,Yes,No,< 3.00,No,No,No,Never occurs,No,Never,Yes,Maybe,1-3 Hours,1,1,1,1,1,0,2,2,5,2,1,4,6,5,6,4,5
"Yes, I agree to participate,",Chittagong University of Engineering and Technology,Under Graduation,Freshman (Undergrad),Male,< 20,No,No,< 3.00,No,No,No,Never occurs,No,Never,No,No,< 1 Hours,1,0,0,0,1,2,0,3,1,4,1,4,6,6,2,6,2
"Yes, I agree to participate,",Islamic University of Technology,Mechanical Engineering,Graduate student,Male,21-25,Yes,No,3.01-3.50,No,Yes,No,Sometimes,No,Rarely,Yes,No,> 3 Hours,2,1,1,2,1,1,1,2,2,4,4,5,5,2,5,6,4
"Yes, I agree to participate,",EDU,CSE,Freshman (Undergrad),Male,21-25,Yes,Yes,> 3.50,No,No,No,Sometimes,No,Often,Yes,No,1-3 Hours,1,2,2,1,2,2,2,7,6,7,6,7,6,7,6,7,5
"Yes, I agree to participate,",East Delta University,CSE,Junior (Undergrad),Female,21-25,Yes,No,> 3.50,No,No,No,Sometimes,No,Rarely,Yes,No,1-3 Hours,3,3,3,3,3,3,3,1,1,5,7,6,7,2,7,7,3
"Yes, I agree to participate,",Chittagong govt.girls college,science,Junior (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,No,Yes,No,Sometimes,No,Never,Yes,Maybe,1-3 Hours,3,2,2,3,3,3,2,4,5,5,6,6,2,7,4,4,5
"Yes, I agree to participate,",Chittagong independent University,LLB,Graduate student,Female,21-25,Yes,Yes,< 3.00,No,No,Yes,Sometimes,Yes,Rarely,Yes,No,> 3 Hours,1,1,3,3,2,2,3,3,3,5,3,4,4,4,3,4,5
"Yes, I agree to participate,","Textile Engineering College,Begumganj",BSc in Yarn Engineering,Senior (Undergrad),Female,21-25,No,No,3.01-3.50,No,No,No,Sometimes,No,Rarely,Yes,Maybe,1-3 Hours,1,2,2,2,1,2,2,5,2,6,6,5,7,6,2,4,2
"Yes, I agree to participate,",Chittagong College,Statistics,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,Yes,Yes,No,Never occurs,Yes,Often,No,Yes,> 3 Hours,1,0,1,2,0,3,3,6,1,6,3,6,1,6,1,6,2
"Yes, I agree to participate,",Eberhard Karls Universit�t T�bingen,English literature and Culture M.A.,Graduate student,Male,> 25,No,Yes,> 3.50,No,No,No,Sometimes,No,Rarely,No,No,> 3 Hours,1,1,1,0,1,2,0,6,1,2,1,4,4,5,1,7,3
"Yes, I agree to participate,",RUB,Religious studies,Graduate student,Male,> 25,No,No,3.01-3.50,No,No,No,Sometimes,No,Rarely,Yes,No,1-3 Hours,1,2,1,1,1,1,2,6,4,7,4,6,4,7,1,6,3
"Yes, I agree to participate,",PCIU,BFT,Senior (Undergrad),Female,21-25,Yes,Yes,< 3.00,No,No,No,Sometimes,No,Rarely,Yes,Yes,> 3 Hours,1,1,1,1,1,1,1,1,1,2,5,4,1,5,1,7,1
"Yes, I agree to participate,",Chittagong Govt Women's College,Science,Senior (Undergrad),Female,< 20,Yes,No,> 3.50,No,Yes,No,Sometimes,No,Never,Yes,Maybe,> 3 Hours,2,0,1,2,1,3,3,2,2,3,7,3,3,7,4,5,2
"Yes, I agree to participate,",East Delta University,CSE,Senior (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Never,No,No,> 3 Hours,0,0,0,0,0,1,1,6,1,5,6,5,2,5,4,5,5
"Yes, I agree to participate,",Chittagong govt women's college,HSC,Senior (Undergrad),Female,< 20,Yes,Yes,> 3.50,No,No,No,Sometimes,Yes,Often,No,No,> 3 Hours,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
"Yes, I agree to participate,",Chittagong govt girls college,Hsc,Senior (Undergrad),Female,< 20,Yes,No,3.01-3.50,No,Yes,No,Sometimes,Yes,Never,Yes,Yes,> 3 Hours,1,3,2,3,3,2,3,4,3,2,7,5,5,4,7,3,7
